Step,Tr,Date,Depth
1,100,19APR2026 00:00:00,4.867095947
2,100,19APR2026 00:15:00,4.375289917
3,100,19APR2026 00:30:00,4.120544434
4,100,19APR2026 00:45:00,3.930221558
5,100,19APR2026 01:00:00,4.156890869
6,100,19APR2026 01:15:00,5.836776733
7,100,19APR2026 01:30:00,7.8934021
8,100,19APR2026 01:45:00,9.454727173
9,100,19APR2026 02:00:00,10.55018616
10,100,19APR2026 02:15:00,11.28686523
11,100,19APR2026 02:30:00,11.77073669
12,100,19APR2026 02:45:00,12.0848999
13,100,19APR2026 03:00:00,12.33990479
14,100,19APR2026 03:15:00,12.55543518
15,100,19APR2026 03:30:00,12.75767517
16,100,19APR2026 03:45:00,12.94598389
17,100,19APR2026 04:00:00,13.1174469
18,100,19APR2026 04:15:00,13.2883606
19,100,19APR2026 04:30:00,13.46078491
20,100,19APR2026 04:45:00,13.61909485
21,100,19APR2026 05:00:00,13.76423645
22,100,19APR2026 05:15:00,13.90159607
23,100,19APR2026 05:30:00,14.03007507
24,100,19APR2026 05:45:00,14.16116333
25,100,19APR2026 06:00:00,14.29693604
26,100,19APR2026 06:15:00,14.43414307
27,100,19APR2026 06:30:00,14.57977295
28,100,19APR2026 06:45:00,14.72544861
29,100,19APR2026 07:00:00,14.87516785
30,100,19APR2026 07:15:00,15.02789307
31,100,19APR2026 07:30:00,15.18609619
32,100,19APR2026 07:45:00,15.34902954
33,100,19APR2026 08:00:00,15.52453613
34,100,19APR2026 08:15:00,15.71133423
35,100,19APR2026 08:30:00,15.90228271
36,100,19APR2026 08:45:00,16.10087585
37,100,19APR2026 09:00:00,16.29577637
38,100,19APR2026 09:15:00,16.47279358
39,100,19APR2026 09:30:00,16.6166687
40,100,19APR2026 09:45:00,16.72465515
41,100,19APR2026 10:00:00,16.80377197
42,100,19APR2026 10:15:00,16.86003113
43,100,19APR2026 10:30:00,16.89775085
44,100,19APR2026 10:45:00,16.92008972
45,100,19APR2026 11:00:00,16.92868042
46,100,19APR2026 11:15:00,16.92546082
47,100,19APR2026 11:30:00,16.9145813
48,100,19APR2026 11:45:00,16.89831543
49,100,19APR2026 12:00:00,16.87826538
50,100,19APR2026 12:15:00,16.85528564
51,100,19APR2026 12:30:00,16.8301239
52,100,19APR2026 12:45:00,16.80317688
53,100,19APR2026 13:00:00,16.77574158
54,100,19APR2026 13:15:00,16.74786377
55,100,19APR2026 13:30:00,16.71897888
56,100,19APR2026 13:45:00,16.68902588
57,100,19APR2026 14:00:00,16.65866089
58,100,19APR2026 14:15:00,16.62799072
59,100,19APR2026 14:30:00,16.59712219
60,100,19APR2026 14:45:00,16.56604004
61,100,19APR2026 15:00:00,16.53475952
62,100,19APR2026 15:15:00,16.50338745
63,100,19APR2026 15:30:00,16.47213745
64,100,19APR2026 15:45:00,16.44093323
65,100,19APR2026 16:00:00,16.40991211
66,100,19APR2026 16:15:00,16.37902832
67,100,19APR2026 16:30:00,16.34851074
68,100,19APR2026 16:45:00,16.31825256
69,100,19APR2026 17:00:00,16.28848267
70,100,19APR2026 17:15:00,16.25912476
71,100,19APR2026 17:30:00,16.23039246
72,100,19APR2026 17:45:00,16.20205688
73,100,19APR2026 18:00:00,16.17433167
74,100,19APR2026 18:15:00,16.14698792
75,100,19APR2026 18:30:00,16.12014771
76,100,19APR2026 18:45:00,16.09367371
77,100,19APR2026 19:00:00,16.06762695
78,100,19APR2026 19:15:00,16.04191589
79,100,19APR2026 19:30:00,16.01657104
80,100,19APR2026 19:45:00,15.99147034
81,100,19APR2026 20:00:00,15.96659851
82,100,19APR2026 20:15:00,15.94181824
83,100,19APR2026 20:30:00,15.91719055
84,100,19APR2026 20:45:00,15.89254761
85,100,19APR2026 21:00:00,15.8678894
86,100,19APR2026 21:15:00,15.84313965
87,100,19APR2026 21:30:00,15.8183136
88,100,19APR2026 21:45:00,15.7933197
89,100,19APR2026 22:00:00,15.7681427
90,100,19APR2026 22:15:00,15.7427063
91,100,19APR2026 22:30:00,15.7170105
92,100,19APR2026 22:45:00,15.69100952
93,100,19APR2026 23:00:00,15.66461182
94,100,19APR2026 23:15:00,15.63778687
95,100,19APR2026 23:30:00,15.61051941
