Step,Tr,Date,Depth
1,2,19APR2026 00:00:00,3.867340088
2,2,19APR2026 00:15:00,3.504745483
3,2,19APR2026 00:30:00,3.302459717
4,2,19APR2026 00:45:00,3.141571045
5,2,19APR2026 01:00:00,3.009216309
6,2,19APR2026 01:15:00,2.941772461
7,2,19APR2026 01:30:00,3.162490845
8,2,19APR2026 01:45:00,3.99810791
9,2,19APR2026 02:00:00,5.097686768
10,2,19APR2026 02:15:00,6.062988281
11,2,19APR2026 02:30:00,6.848388672
12,2,19APR2026 02:45:00,7.470352173
13,2,19APR2026 03:00:00,7.967483521
14,2,19APR2026 03:15:00,8.373901367
15,2,19APR2026 03:30:00,8.712478638
16,2,19APR2026 03:45:00,8.990493774
17,2,19APR2026 04:00:00,9.21635437
18,2,19APR2026 04:15:00,9.402740479
19,2,19APR2026 04:30:00,9.557952881
20,2,19APR2026 04:45:00,9.689407349
21,2,19APR2026 05:00:00,9.802459717
22,2,19APR2026 05:15:00,9.902709961
23,2,19APR2026 05:30:00,9.99458313
24,2,19APR2026 05:45:00,10.08493042
25,2,19APR2026 06:00:00,10.18014526
26,2,19APR2026 06:15:00,10.28205872
27,2,19APR2026 06:30:00,10.39112854
28,2,19APR2026 06:45:00,10.53900146
29,2,19APR2026 07:00:00,10.68103027
30,2,19APR2026 07:15:00,10.81950378
31,2,19APR2026 07:30:00,10.95761108
32,2,19APR2026 07:45:00,11.09663391
33,2,19APR2026 08:00:00,11.23872375
34,2,19APR2026 08:15:00,11.38432312
35,2,19APR2026 08:30:00,11.53497314
36,2,19APR2026 08:45:00,11.68562317
37,2,19APR2026 09:00:00,11.83001709
38,2,19APR2026 09:15:00,11.98786926
39,2,19APR2026 09:30:00,12.12327576
40,2,19APR2026 09:45:00,12.2283783
41,2,19APR2026 10:00:00,12.31008911
42,2,19APR2026 10:15:00,12.36349487
43,2,19APR2026 10:30:00,12.39413452
44,2,19APR2026 10:45:00,12.40888977
45,2,19APR2026 11:00:00,12.4085083
46,2,19APR2026 11:15:00,12.3976593
47,2,19APR2026 11:30:00,12.37586975
48,2,19APR2026 11:45:00,12.34388733
49,2,19APR2026 12:00:00,12.30645752
50,2,19APR2026 12:15:00,12.26525879
51,2,19APR2026 12:30:00,12.21990967
52,2,19APR2026 12:45:00,12.17077637
53,2,19APR2026 13:00:00,12.11817932
54,2,19APR2026 13:15:00,12.0622406
55,2,19APR2026 13:30:00,12.00440979
56,2,19APR2026 13:45:00,11.94566345
57,2,19APR2026 14:00:00,11.88587952
58,2,19APR2026 14:15:00,11.82487488
59,2,19APR2026 14:30:00,11.7633667
60,2,19APR2026 14:45:00,11.7020874
61,2,19APR2026 15:00:00,11.64146423
62,2,19APR2026 15:15:00,11.581604
63,2,19APR2026 15:30:00,11.52253723
64,2,19APR2026 15:45:00,11.46430969
65,2,19APR2026 16:00:00,11.40727234
66,2,19APR2026 16:15:00,11.35180664
67,2,19APR2026 16:30:00,11.29818726
68,2,19APR2026 16:45:00,11.24617004
69,2,19APR2026 17:00:00,11.19602966
70,2,19APR2026 17:15:00,11.14802551
71,2,19APR2026 17:30:00,11.10198975
72,2,19APR2026 17:45:00,11.05778503
73,2,19APR2026 18:00:00,11.01522827
74,2,19APR2026 18:15:00,10.97441101
75,2,19APR2026 18:30:00,10.93525696
76,2,19APR2026 18:45:00,10.89768982
77,2,19APR2026 19:00:00,10.86155701
78,2,19APR2026 19:15:00,10.826828
79,2,19APR2026 19:30:00,10.79328918
80,2,19APR2026 19:45:00,10.76100159
81,2,19APR2026 20:00:00,10.72961426
82,2,19APR2026 20:15:00,10.69902039
83,2,19APR2026 20:30:00,10.66914368
84,2,19APR2026 20:45:00,10.6398468
85,2,19APR2026 21:00:00,10.61105347
86,2,19APR2026 21:15:00,10.58259583
87,2,19APR2026 21:30:00,10.55444336
88,2,19APR2026 21:45:00,10.52648926
89,2,19APR2026 22:00:00,10.498703
90,2,19APR2026 22:15:00,10.47084045
91,2,19APR2026 22:30:00,10.44294739
92,2,19APR2026 22:45:00,10.41481018
93,2,19APR2026 23:00:00,10.3863678
94,2,19APR2026 23:15:00,10.35765076
95,2,19APR2026 23:30:00,10.32862854
