Step,Tr,Date,Depth
1,10,19APR2026 00:00:00,3.867340088
2,10,19APR2026 00:15:00,3.504745483
3,10,19APR2026 00:30:00,3.302444458
4,10,19APR2026 00:45:00,3.141571045
5,10,19APR2026 01:00:00,3.017837524
6,10,19APR2026 01:15:00,3.195297241
7,10,19APR2026 01:30:00,4.536895752
8,10,19APR2026 01:45:00,6.239532471
9,10,19APR2026 02:00:00,7.614608765
10,10,19APR2026 02:15:00,8.666229248
11,10,19APR2026 02:30:00,9.460388184
12,10,19APR2026 02:45:00,10.06222534
13,10,19APR2026 03:00:00,10.49784851
14,10,19APR2026 03:15:00,10.82832336
15,10,19APR2026 03:30:00,11.08441162
16,10,19APR2026 03:45:00,11.29295349
17,10,19APR2026 04:00:00,11.47265625
18,10,19APR2026 04:15:00,11.62478638
19,10,19APR2026 04:30:00,11.75967407
20,10,19APR2026 04:45:00,11.8747406
21,10,19APR2026 05:00:00,11.99049377
22,10,19APR2026 05:15:00,12.09463501
23,10,19APR2026 05:30:00,12.18708801
24,10,19APR2026 05:45:00,12.27331543
25,10,19APR2026 06:00:00,12.3735199
26,10,19APR2026 06:15:00,12.47480774
27,10,19APR2026 06:30:00,12.58430481
28,10,19APR2026 06:45:00,12.69326782
29,10,19APR2026 07:00:00,12.80271912
30,10,19APR2026 07:15:00,12.91410828
31,10,19APR2026 07:30:00,13.03692627
32,10,19APR2026 07:45:00,13.16682434
33,10,19APR2026 08:00:00,13.31494141
34,10,19APR2026 08:15:00,13.46856689
35,10,19APR2026 08:30:00,13.62246704
36,10,19APR2026 08:45:00,13.79069519
37,10,19APR2026 09:00:00,13.96389771
38,10,19APR2026 09:15:00,14.12701416
39,10,19APR2026 09:30:00,14.2743988
40,10,19APR2026 09:45:00,14.39678955
41,10,19APR2026 10:00:00,14.48829651
42,10,19APR2026 10:15:00,14.55079651
43,10,19APR2026 10:30:00,14.59188843
44,10,19APR2026 10:45:00,14.61701965
45,10,19APR2026 11:00:00,14.62773132
46,10,19APR2026 11:15:00,14.62495422
47,10,19APR2026 11:30:00,14.61169434
48,10,19APR2026 11:45:00,14.590271
49,10,19APR2026 12:00:00,14.56373596
50,10,19APR2026 12:15:00,14.53422546
51,10,19APR2026 12:30:00,14.50202942
52,10,19APR2026 12:45:00,14.46754456
53,10,19APR2026 13:00:00,14.43258667
54,10,19APR2026 13:15:00,14.39804077
55,10,19APR2026 13:30:00,14.36358643
56,10,19APR2026 13:45:00,14.3289032
57,10,19APR2026 14:00:00,14.29399109
58,10,19APR2026 14:15:00,14.25874329
59,10,19APR2026 14:30:00,14.22325134
60,10,19APR2026 14:45:00,14.18762207
61,10,19APR2026 15:00:00,14.15162659
62,10,19APR2026 15:15:00,14.11509705
63,10,19APR2026 15:30:00,14.07815552
64,10,19APR2026 15:45:00,14.040802
65,10,19APR2026 16:00:00,14.00317383
66,10,19APR2026 16:15:00,13.96533203
67,10,19APR2026 16:30:00,13.92749023
68,10,19APR2026 16:45:00,13.88967896
69,10,19APR2026 17:00:00,13.85227966
70,10,19APR2026 17:15:00,13.81535339
71,10,19APR2026 17:30:00,13.77915955
72,10,19APR2026 17:45:00,13.74362183
73,10,19APR2026 18:00:00,13.70898438
74,10,19APR2026 18:15:00,13.67510986
75,10,19APR2026 18:30:00,13.64208984
76,10,19APR2026 18:45:00,13.60977173
77,10,19APR2026 19:00:00,13.57824707
78,10,19APR2026 19:15:00,13.5473175
79,10,19APR2026 19:30:00,13.5171051
80,10,19APR2026 19:45:00,13.48744202
81,10,19APR2026 20:00:00,13.45829773
82,10,19APR2026 20:15:00,13.42955017
83,10,19APR2026 20:30:00,13.40119934
84,10,19APR2026 20:45:00,13.37310791
85,10,19APR2026 21:00:00,13.3452301
86,10,19APR2026 21:15:00,13.31745911
87,10,19APR2026 21:30:00,13.2897644
88,10,19APR2026 21:45:00,13.2620697
89,10,19APR2026 22:00:00,13.23439026
90,10,19APR2026 22:15:00,13.20654297
91,10,19APR2026 22:30:00,13.17843628
92,10,19APR2026 22:45:00,13.15010071
93,10,19APR2026 23:00:00,13.1214447
94,10,19APR2026 23:15:00,13.09236145
95,10,19APR2026 23:30:00,13.06285095
